"filename", "language", "PHP", "JSON", "Markdown", "XML", "HTML", "JavaScript", "PostCSS", "comment", "blank", "total"
"d:\wamp\www\Supply\check-product-names.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 3, 10, 37
"d:\wamp\www\Supply\check-unlinked-images.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 2, 16, 64
"d:\wamp\www\Supply\composer.json", "JSON", 0, 91, 0, 0, 0, 0, 0, 0, 1, 92
"d:\wamp\www\Supply\composer.lock", "JSON", 0, 9195, 0, 0, 0, 0, 0, 0, 1, 9196
"d:\wamp\www\Supply\config\app.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 82, 23, 127
"d:\wamp\www\Supply\config\auth.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 74, 14, 116
"d:\wamp\www\Supply\config\cache.php", "PHP", 64, 0, 0, 0, 0, 0, 0, 35, 19, 118
"d:\wamp\www\Supply\config\database.php", "PHP", 118, 0, 0, 0, 0, 0, 0, 43, 23, 184
"d:\wamp\www\Supply\config\filesystems.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 32, 13, 81
"d:\wamp\www\Supply\config\logging.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 33, 21, 133
"d:\wamp\www\Supply\config\mail.php", "PHP", 57, 0, 0, 0, 0, 0, 0, 43, 19, 119
"d:\wamp\www\Supply\config\queue.php", "PHP", 65, 0, 0, 0, 0, 0, 0, 45, 20, 130
"d:\wamp\www\Supply\config\services.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 11, 10, 49
"d:\wamp\www\Supply\config\session.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 160, 35, 218
"d:\wamp\www\Supply\create-admin.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 4, 7, 37
"d:\wamp\www\Supply\database\factories\UserFactory.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 14, 6, 45
"d:\wamp\www\Supply\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 6, 6, 50
"d:\wamp\www\Supply\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 6, 5, 36
"d:\wamp\www\Supply\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 6, 6, 58
"d:\wamp\www\Supply\database\migrations\2026_01_06_082335_add_role_to_users_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"d:\wamp\www\Supply\database\migrations\2026_01_06_084000_create_stock_payment_promotion.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 3, 6, 50
"d:\wamp\www\Supply\database\migrations\2026_01_06_090000_create_ecommerce_tables.php", "PHP", 102, 0, 0, 0, 0, 0, 0, 15, 12, 129
"d:\wamp\www\Supply\database\migrations\2026_01_06_120000_link_product_images.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 7, 5, 42
"d:\wamp\www\Supply\database\migrations\2026_01_06_130000_link_category_and_product_images.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 8, 7, 59
"d:\wamp\www\Supply\database\migrations\2026_01_06_140000_fix_all_product_images.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 13, 10, 63
"d:\wamp\www\Supply\database\migrations\2026_01_06_145000_add_note_columns_to_produits.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"d:\wamp\www\Supply\database\migrations\2026_01_06_150000_add_avis_system.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 2, 6, 58
"d:\wamp\www\Supply\database\migrations\2026_01_06_170000_add_user_fields.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 4, 37
"d:\wamp\www\Supply\database\migrations\2026_01_06_180000_add_payment_method.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"d:\wamp\www\Supply\database\migrations\2026_01_06_190000_update_payment_type_enum.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 1, 4, 25
"d:\wamp\www\Supply\database\migrations\2026_01_07_000000_add_user_id_to_produits.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 8, 4, 34
