"filename", "language", "JavaScript", "PHP", "JSON", "Markdown", "XML", "HTML", "PostCSS", "comment", "blank", "total"
"d:\wamp\www\Supply\phpunit.xml", "XML", 0, 0, 0, 0, 35, 0, 0, 0, 1, 36
"d:\wamp\www\Supply\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\wamp\www\Supply\public\index.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 4, 7, 21
"d:\wamp\www\Supply\public\test-images.html", "HTML", 0, 0, 0, 0, 0, 52, 0, 0, 6, 58
"d:\wamp\www\Supply\resources\css\app.css", "PostCSS", 0, 0, 0, 0, 0, 0, 209, 16, 52, 277
"d:\wamp\www\Supply\resources\css\modals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 6, 1, 3, 10
"d:\wamp\www\Supply\resources\js\app.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 5, 17
"d:\wamp\www\Supply\resources\js\bootstrap.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\wamp\www\Supply\resources\js\currency-converter.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 7, 16, 111
"d:\wamp\www\Supply\resources\js\socketio.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 4, 29, 161
"d:\wamp\www\Supply\resources\js\sweetalert.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 8, 9, 115
"d:\wamp\www\Supply\resources\svg\icons\README.md", "Markdown", 0, 0, 0, 172, 0, 0, 0, 3, 31, 206
"d:\wamp\www\Supply\resources\views\accueil.blade.php", "PHP", 0, 128, 0, 0, 0, 0, 0, 0, 15, 143
"d:\wamp\www\Supply\resources\views\auth\confirm-password.blade.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 0, 4, 40
"d:\wamp\www\Supply\resources\views\auth\forgot-password.blade.php", "PHP", 0, 74, 0, 0, 0, 0, 0, 0, 9, 83
"d:\wamp\www\Supply\resources\views\auth\login.blade.php", "PHP", 0, 268, 0, 0, 0, 0, 0, 3, 26, 297
"d:\wamp\www\Supply\resources\views\auth\register.blade.php", "PHP", 0, 505, 0, 0, 0, 0, 0, 12, 39, 556
"d:\wamp\www\Supply\resources\views\auth\reset-password.blade.php", "PHP", 0, 90, 0, 0, 0, 0, 0, 0, 10, 100
"d:\wamp\www\Supply\resources\views\auth\verify-email-code.blade.php", "PHP", 0, 178, 0, 0, 0, 0, 0, 5, 17, 200
