"filename", "language", "Markdown", "PHP", "JSON", "JavaScript", "comment", "blank", "total"
"d:\wamp\www\Supply\resources\views\components\confirmation-modal.blade.php", "PHP", 0, 99, 0, 0, 24, 17, 140
"d:\wamp\www\Supply\resources\views\components\vendeur-sidebar.blade.php", "PHP", 0, 4, 0, 0, 0, 0, 4
"d:\wamp\www\Supply\resources\views\emails\new-vendor-registration.blade.php", "PHP", 0, 29, 0, 0, 0, 14, 43
"d:\wamp\www\Supply\resources\views\emails\vendor-approved.blade.php", "PHP", 0, 31, 0, 0, 0, 17, 48
"d:\wamp\www\Supply\resources\views\emails\vendor-rejected.blade.php", "PHP", 0, 27, 0, 0, 0, 16, 43
"d:\wamp\www\Supply\resources\views\favoris\index.blade.php", "PHP", 0, 2, 0, 0, 0, 0, 2
"d:\wamp\www\Supply\resources\views\layouts\admin-layout.blade.php", "PHP", 0, 152, 0, 0, 2, 14, 168
"d:\wamp\www\Supply\resources\views\layouts\app.blade.php", "PHP", 0, 2, 0, 0, 0, 1, 3
"d:\wamp\www\Supply\resources\views\layouts\navigation-client.blade.php", "PHP", 0, 53, 0, 0, 0, 1, 54
"d:\wamp\www\Supply\resources\views\layouts\vendeur.blade.php", "PHP", 0, 1, 0, 0, 0, 0, 1
"d:\wamp\www\Supply\resources\views\messages\conversation.blade.php", "PHP", 0, 22, 0, 0, 0, 1, 23
"d:\wamp\www\Supply\resources\views\messages\inbox.blade.php", "PHP", 0, 1, 0, 0, 0, 0, 1
"d:\wamp\www\Supply\resources\views\panier\index.blade.php", "PHP", 0, 7, 0, 0, 0, 0, 7
"d:\wamp\www\Supply\resources\views\produits\show.blade.php", "PHP", 0, 4, 0, 0, 0, 0, 4
"d:\wamp\www\Supply\resources\views\vendeur\commandes\index.blade.php", "PHP", 0, 10, 0, 0, 0, 0, 10
"d:\wamp\www\Supply\resources\views\vendeur\commandes\show.blade.php", "PHP", 0, 8, 0, 0, 0, 0, 8
"d:\wamp\www\Supply\resources\views\vendeur\layout-dashboard.blade.php", "PHP", 0, 233, 0, 0, 23, 39, 295
"d:\wamp\www\Supply\resources\views\vendeur\messages.blade.php", "PHP", 0, 8, 0, 0, 0, 0, 8
"d:\wamp\www\Supply\resources\views\vendeur\messages\show.blade.php", "PHP", 0, 27, 0, 0, 0, 1, 28
"d:\wamp\www\Supply\resources\views\vendeur\parametres.blade.php", "PHP", 0, 4, 0, 0, 0, 0, 4
"d:\wamp\www\Supply\resources\views\vendeur\produits\form.blade.php", "PHP", 0, 12, 0, 0, 0, 2, 14
"d:\wamp\www\Supply\resources\views\vendeur\produits\index.blade.php", "PHP", 0, 18, 0, 0, 0, 0, 18
"d:\wamp\www\Supply\resources\views\vendeur\profil.blade.php", "PHP", 0, 14, 0, 0, 0, 0, 14
"d:\wamp\www\Supply\resources\views\vendeur\stock.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 3
"d:\wamp\www\Supply\routes\admin.php", "PHP", 0, 96, 0, 0, 18, 13, 127
"d:\wamp\www\Supply\routes\auth.php", "PHP", 0, 2, 0, 0, 2, 1, 5
"d:\wamp\www\Supply\routes\web.php", "PHP", 0, 2, 0, 0, 1, 1, 4
"d:\wamp\www\Supply\tailwind.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 5
"Total", "-", 1294, 10885, 152, 5, 668, 1648, 14652
